data,DFS Branch and Bound,LC Branch and Bound,Brute Force,Dynamic Programming
tsp_6_1.txt,0.0541797,0.0767697,0.00005,0.00003
tsp_6_2.txt,2.19E-05,1.21E-05,0.00006,4.28E-05
tsp_10.txt,6.61E-05,0.0001069,0.69829,4.68E-05
tsp_12.txt,0.00352418,0.0106095,22.340,0.00202998
tsp_13.txt,0.00247427,0.00407325,304.121,0.0463789
tsp_14.txt,0.00667902,0.00626678,,0.0244407
tsp_15.txt,0.0634549,0.0509195,,0.056159
tsp_17.txt,403,,,0.22629
tsp_17_1.txt,0.0129625,0.0166541,,0.133336
tsp_18_1.txt,0.178658,0.0453291,,0.794795
tsp_19_1.txt,0.0942463,0.191169,,1.80756
tsp_20_1.txt,0.351198,0.425746,,5.32575
